method,query_index,latency_ms,success,collision_free,dynamic_feasible
plus_cbf,6,43.8126,0,1,0
plus_cbf,7,48.8913,0,1,0
plus_cbf,8,46.3514,0,1,0
plus_cbf,9,49.0492,0,1,0
plus_cbf,10,54.1944,0,1,0
plus_cbf,11,50.6377,0,1,0
plus_cbf,12,46.5404,0,1,0
plus_cbf,13,55.3208,0,1,0
plus_cbf,14,46.897,0,1,0
plus_cbf,15,47.4729,0,1,0
plus_cbf,16,50.9392,0,1,0
plus_cbf,17,45.6686,0,1,0
plus_cbf,18,47.6453,0,1,0
plus_cbf,19,49.9569,0,1,0
plus_cbf,20,71.0862,0,1,0
plus_cbf,21,45.3642,0,1,0
plus_cbf,22,46.335,0,1,0
plus_cbf,23,51.6373,0,1,0
plus_cbf,24,47.4597,0,1,0
plus_cbf,25,50.9817,0,1,0
plus_cbf,26,53.037,0,1,0
plus_cbf,27,57.7817,0,1,0
plus_cbf,28,51.5648,0,1,0
plus_cbf,29,46.598,0,1,0
plus_cbf,30,49.4432,0,1,0
plus_cbf,31,49.9579,0,1,0
plus_cbf,32,58.7033,0,1,0
plus_cbf,33,48.3481,0,1,0
plus_cbf,34,54.5196,0,1,0
plus_cbf,35,55.6223,0,1,0
plus_cbf,36,53.3088,0,1,0
plus_cbf,37,47.6073,0,1,0
plus_cbf,38,47.108,0,1,0
plus_cbf,39,44.4368,0,1,0
plus_cbf,40,48.7939,0,1,0
plus_cbf,41,49.2521,0,1,0
plus_cbf,42,48.067,0,1,0
plus_cbf,43,45.0486,0,1,0
plus_cbf,44,45.2192,0,1,0
plus_cbf,45,43.4613,0,1,0
plus_cbf,46,48.3376,0,1,0
plus_cbf,47,56.0071,0,1,0
plus_cbf,48,52.6612,0,1,0
plus_cbf,49,44.4657,0,1,0
plus_cbf,50,49.2303,0,1,0
plus_cbf,51,44.5018,0,1,0
plus_cbf,52,52.7841,0,1,0
plus_cbf,53,43.3797,0,1,0
plus_cbf,54,43.7242,0,1,0
plus_cbf,55,45.1507,0,1,0
plus_cbf,56,46.4992,0,1,0
plus_cbf,57,44.2476,0,1,0
plus_cbf,58,43.103,0,1,0
plus_cbf,59,49.9569,0,1,0
plus_cbf,60,43.2046,0,1,0
plus_cbf,61,43.4948,0,1,0
plus_cbf,62,43.7784,0,1,0
plus_cbf,63,43.5935,0,1,0
plus_cbf,64,65.0331,0,1,0
plus_cbf,65,45.4676,0,1,0
plus_cbf,66,44.5813,0,1,0
plus_cbf,67,45.3495,0,1,0
plus_cbf,68,48.0015,0,1,0
plus_cbf,69,48.0222,0,1,0
plus_cbf,70,47.4276,0,1,0
plus_cbf,71,49.178,0,1,0
plus_cbf,72,52.8424,0,1,0
plus_cbf,73,48.9223,0,1,0
plus_cbf,74,48.2065,0,1,0
plus_cbf,75,46.8845,0,1,0
plus_cbf,76,51.4631,0,1,0
plus_cbf,77,58.2439,0,1,0
plus_cbf,78,49.8307,0,1,0
plus_cbf,79,51.9942,0,1,0
plus_cbf,80,51.0536,0,1,0
plus_cbf,81,45.46,0,1,0
plus_cbf,82,47.3,0,1,0
plus_cbf,83,44.5751,0,1,0
plus_cbf,84,44.8868,0,1,0
plus_cbf,85,46.6072,0,1,0
plus_cbf,86,48.3382,0,1,0
plus_cbf,87,44.9789,0,1,0
plus_cbf,88,44.477,0,1,0
plus_cbf,89,49.015,0,1,0
plus_cbf,90,48.8231,0,1,0
plus_cbf,91,49.6412,0,1,0
plus_cbf,92,65.4075,0,1,0
plus_cbf,93,49.063,0,1,0
plus_cbf,94,66.6691,0,1,0
plus_cbf,95,47.8895,0,1,0
plus_cbf,96,52.4572,0,1,0
plus_cbf,97,51.6364,0,1,0
plus_cbf,98,52.3615,0,1,0
plus_cbf,99,57.2467,0,1,0
plus_cbf,100,55.0243,0,1,0
plus_cbf,101,55.9824,0,1,0
plus_cbf,102,58.251,0,1,0
plus_cbf,103,51.498,0,1,0
plus_cbf,104,54.7932,0,1,0
plus_cbf,105,60.2267,0,1,0
plus_cbf,106,60.6534,0,1,0
plus_cbf,107,45.3975,0,1,0
plus_cbf,108,55.4446,0,1,0
plus_cbf,109,54.9283,1,1,1
plus_cbf,110,47.8756,0,1,0
plus_cbf,111,45.8668,0,1,0
plus_cbf,112,64.1095,0,1,0
plus_cbf,113,49.1325,0,1,0
plus_cbf,114,52.2551,0,1,0
plus_cbf,115,46.221,0,1,0
plus_cbf,116,45.4347,0,1,0
plus_cbf,117,55.3282,0,1,0
plus_cbf,118,51.9511,0,1,0
plus_cbf,119,50.6655,1,1,1
plus_cbf,120,44.5181,0,1,0
plus_cbf,121,52.9597,0,1,0
plus_cbf,122,48.737,0,1,0
plus_cbf,123,81.605,0,1,0
plus_cbf,124,48.5167,0,1,0
plus_cbf,125,48.293,0,1,0
plus_cbf,126,49.0637,0,1,0
plus_cbf,127,46.7457,0,1,0
plus_kinodynamic,0,51.4007,1,1,1
plus_kinodynamic,1,55.0545,1,1,1
