scenario,seed,method,trajectory_index,both_passed,collision,margin_violation,minimum_separation_m,crossing_gap_s,tracking_rmse_mean_m,maximum_tracking_error_m,maximum_tilt_degrees,motor_saturation_fraction
severe,8103,nash_reference_hocbf,1,1,0,0,0.4323245071946585,0.5656479370501621,0.15332015762557433,0.21268616584427502,27.268582786097294,0.0
severe,8103,nash_reference_hocbf,2,1,0,0,0.6588407357793159,0.9831050055489059,0.15911883613535666,0.21674487764457703,16.127708247755102,0.0
severe,8103,nash_reference_hocbf,3,1,0,0,0.48506197493619696,0.8040486172171075,0.20356212626470882,0.24820605639487747,21.229351493707167,0.0
severe,8103,nash_reference_hocbf,4,1,0,0,0.6179207501328241,0.8499928758470419,0.18802302651296032,0.22932006034264443,19.65952728577037,0.0
severe,8103,nash_reference_hocbf,5,1,0,0,0.5217630110879463,0.704256371580124,0.14144739520148486,0.19976989904276216,15.423439843682166,0.0
severe,8103,nash_reference_hocbf,6,1,0,0,0.5728011017478097,0.6621102546539337,0.12249722635814005,0.1712175043067555,16.144174705780316,0.0
severe,8103,nash_reference_hocbf,7,1,0,0,0.5995709752296993,1.0751302592996153,0.1699820845974573,0.22305347580542775,18.38279195900477,0.0
severe,8103,phase1_cfm_hocbf,0,1,0,0,0.6243227719329882,0.6502450239620567,0.12739717799688893,0.1867518725589233,33.78393988282837,0.0
severe,8103,phase1_cfm_hocbf,1,1,0,0,0.4155095449183622,0.5560691682100372,0.16341331759532582,0.2215762824357613,34.54696626424857,0.0
severe,8103,phase1_cfm_hocbf,2,1,0,0,0.6588407357793159,0.9841267896421619,0.1591334647471555,0.21637099918940939,15.940206694331637,0.0
severe,8103,phase1_cfm_hocbf,3,1,0,0,0.48506197493619696,0.8074028581396986,0.20416726975381855,0.24652383303827136,22.48918309693697,0.0
severe,8103,phase1_cfm_hocbf,4,1,0,0,0.6179207501328241,0.8651588191197153,0.1879818553383953,0.22807687113411765,19.385243337524457,0.0
severe,8103,phase1_cfm_hocbf,5,1,0,0,0.5217630110879463,0.7255499904626832,0.13898272705930048,0.19949524464659923,19.10144809470381,0.0
severe,8103,phase1_cfm_hocbf,6,1,0,0,0.5728011017478097,0.7031575679836264,0.12256248607266618,0.17137784360072886,17.236936985093323,0.0
severe,8103,phase1_cfm_hocbf,7,1,0,0,0.5995709752296993,1.0846303195499623,0.17013307792940624,0.2248322973951673,17.66638084273405,0.0
severe,8103,phase2_guided_cfm_hocbf,0,1,0,0,0.624515083657425,0.6559510535807007,0.12739309208829275,0.18711707895047242,32.487791925347516,0.0
severe,8103,phase2_guided_cfm_hocbf,1,1,0,0,0.41671291896331897,0.5593410473956002,0.1632645003236266,0.221456569578981,33.97690461034976,0.0
severe,8103,phase2_guided_cfm_hocbf,2,1,0,0,0.6588407357793159,0.9876711055475091,0.15922638209699233,0.21652591388496906,15.65523274683395,0.0
severe,8103,phase2_guided_cfm_hocbf,3,1,0,0,0.48506197493619696,0.8115467277556341,0.20413121339586393,0.24686930356987394,21.836752153905966,0.0
severe,8103,phase2_guided_cfm_hocbf,4,1,0,0,0.6179207501328241,0.8593066460333834,0.1881839620834808,0.2292808386671979,21.534870972419675,0.0
severe,8103,phase2_guided_cfm_hocbf,5,1,0,0,0.5217630110879463,0.7198089506834426,0.13820962244686222,0.1991892893690455,19.421695439035243,0.0
severe,8103,phase2_guided_cfm_hocbf,6,1,0,0,0.5728011017478097,0.7136005975424844,0.12256874269323012,0.1716114032597821,17.446328346438822,0.0
severe,8103,phase2_guided_cfm_hocbf,7,1,0,0,0.5995709752296993,1.0897942840850465,0.170114325391628,0.22489439635607572,17.186033301268765,0.0
